0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67
0.0,119.96923,102.00513,75.198387,0.0,72.38794,33.222781,49.403995,65.189431,61.764586,104.40571,62.448235,114.008,24.698995,92.345455,99.4,93.435468,122.075,108.4036,71.446724,69.303922,65.903268,83.165834,63.215849,0.0,125.53309,132.1782,62.682533,23.206051,35.721662,0.0,83.696552,55.494611,47.136951,156.0,151.0,179.775,0.0,0.0,0.0,149.46667,0.0,84.185714,168.66667,0.0,0.0,0.0,0.0,0.0,128.4,187.44,0.0,194.6,145.0,130.94894,78.4,157.8,131.83478,0.0,186.72308,178.3871,133.7716,180.6,133.97778,0.0,0.0,143.4,134.2
119.96923,0.0,42.020986,0.0,122.9,121.55,120.74667,120.02353,42.141404,169.86667,40.08702,119.77143,34.871801,134.9,100.20755,57.799606,53.061941,54.221106,52.26522,170.2,77.796471,20.137152,75.141606,62.703936,20.378018,45.669332,32.940584,78.850843,105.6597,86.667925,54.568902,0.0,0.0,61.556286,137.6,17.807058,66.404938,0.0,0.0,0.0,137.33333,0.0,0.0,0.0,79.25,158.4,71.047619,0.0,0.0,81.905263,77.178947,83.1,69.111828,0.0,95.142857,36.45,89.042857,109.4,35.227027,55.925344,55.286202,125.56667,101.0,0.0,0.0,0.0,0.0,69.822222
102.00513,42.020986,0.0,0.0,0.0,123.29524,86.205746,119.44723,79.574457,102.75,62.575,130.4,89.2,112.05308,131.53333,76.962025,37.753901,63.375,57.674814,0.0,69.286435,52.159282,33.599759,92.214225,0.0,29.626966,32.473162,76.639898,111.47525,73.789114,0.0,170.5,127.8,40.633453,175.66667,55.401357,98.633212,0.0,0.0,0.0,159.46422,191.61429,143.52,0.0,165.1,263.8,170.4,189.17333,0.0,103.52267,105.58155,147.57895,131.15821,0.0,136.96555,68.891981,103.5162,146.01569,0.0,101.44344,94.384361,150.73068,189.22,160.74737,0.0,0.0,175.0,112.69315
75.198387,0.0,0.0,0.0,96.6325,66.737261,44.614729,89.827714,58.299887,35.451505,157.6463,33.900453,150.15926,99.121719,72.582381,0.0,160.25,168.35714,176.92,15.385902,173.72,98.2,178.68,25.906314,205.35,177.2,192.37333,20.231116,94.138761,119.50769,0.0,135.91852,88.585191,85.932333,159.61935,0.0,0.0,159.90476,0.0,160.152,148.00894,156.225,79.568757,163.73293,219.25882,163.72283,244.31429,174.1625,127.0,0.0,0.0,235.42857,223.35,160.27818,0.0,176.8,175.36667,135.75591,0.0,241.075,234.3,150.08204,164.59298,148.15556,244.0,0.0,161.1,165.32
0.0,122.9,0.0,96.6325,0.0,14.006642,103.6125,31.5856,43.159839,110.50588,64.14386,45.66286,63.948837,125.62857,16.646355,0.0,157.6,79.739394,79.157895,96.3,0.0,90.31875,0.0,70.571971,71.6,89.62,120.41,101.69928,17.887161,110.9,0.0,10.813523,125.6,13.44843,0.0,0.0,0.0,164.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72.38794,121.55,123.29524,66.737261,14.006642,0.0,46.794671,27.296102,73.946505,32.242569,98.525975,30.229954,86.541154,59.285333,15.258578,0.0,132.03004,109.76329,109.26879,50.841998,109.2384,101.4,116.34778,68.167461,117.04706,120.03649,126.12553,59.030082,48.680601,97.07541,124.71429,27.082844,92.130986,45.50408,159.4,0.0,218.0,145.51795,0.0,0.0,156.44949,0.0,90.452571,165.11591,215.56,160.8,157.84444,195.8,0.0,0.0,0.0,172.0,155.4,162.28852,176.6,0.0,194.3,139.925,112.2,207.6,159.26,151.98417,175.35,154.0,0.0,0.0,0.0,179.86667
33.222781,120.74667,86.205746,44.614729,103.6125,46.794671,0.0,53.707852,50.470239,22.677628,136.96492,77.687332,129.39638,43.259845,79.69139,103.95,91.107213,151.33118,120.52794,60.072542,69.2908,98.739759,72.86049,48.015844,152.45714,114.39707,114.13039,31.423362,69.719736,29.328994,175.5,112.1332,69.323138,68.792149,136.15765,141.9,160.81681,145.80229,0.0,144.10476,131.31461,152.34667,71.613736,150.75689,199.46667,151.51053,198.83333,158.60909,155.0,118.0,164.46364,212.16,201.13333,148.53252,125.84035,113.46154,157.99487,118.94927,0.0,194.5,159.57862,127.58408,146.04024,128.77305,0.0,0.0,134.36471,144.93194
49.403995,120.02353,119.44723,89.827714,31.5856,27.296102,53.707852,0.0,80.363227,54.636742,69.752506,78.195817,71.218021,20.351137,40.186069,122.0,117.48212,86.402367,111.95269,89.177812,95.883431,109.3,105.01889,74.889969,84.272727,117.18513,128.45423,71.389591,27.344281,70.92322,105.6,29.161378,71.456471,27.489753,155.4,157.45,199.58462,163.73103,0.0,176.95,157.23951,196.5,97.9375,176.54937,206.51429,196.56667,166.9,227.6,0.0,0.0,202.64,132.075,183.3,174.76889,161.36667,137.7,195.75,146.41311,91.36,178.36154,184.408,154.4756,175.6,156.48286,137.2,0.0,169.4,167.20952
65.189431,42.141404,79.574457,58.299887,43.159839,73.946505,50.470239,80.363227,0.0,67.658741,139.07172,22.642615,103.42833,84.602757,23.78585,41.794485,94.35259,144.83636,107.00672,58.761905,53.025948,22.669988,56.437531,27.684794,86.3875,86.233436,75.225289,47.416051,69.008454,52.158349,108.52,123.48889,62.910301,70.566685,80.866087,42.8,103.93684,85.011742,0.0,83.142857,74.533952,96.74,12.229255,89.605499,145.75484,81.696203,162.8,93.963636,60.45,55.385167,100.13333,166.14,127.06667,87.867674,62.536863,13.763737,64.149653,58.708565,151.6,151.13333,83.636975,67.429,75.336518,63.191086,0.0,140.93333,68.305,78.722563
61.764586,169.86667,102.75,35.451505,110.50588,32.242569,22.677628,54.636742,67.658741,0.0,140.59078,21.563322,135.24308,87.60945,85.820354,90.8,143.50612,156.84211,155.74588,21.047108,105.07826,94.2,109.11364,49.674087,155.03636,164.08366,169.15648,31.803094,92.459158,105.22182,177.13333,116.33707,90.367429,85.123179,162.31136,207.8,248.2,164.34578,0.0,159.70448,150.95048,156.8,87.453936,168.41554,221.81951,167.89298,225.44,182.04444,139.6,157.2,0.0,235.31429,237.52,165.31407,162.96667,0.0,184.3,139.8189,0.0,240.27143,217.74815,152.40712,170.99459,148.7449,234.4,0.0,164.25,169.26128
